Index Real_Part Imagine_part Amplitude
0 -0.115173 0 0.115173
1 0.797573 -1.2102 1.44938
2 -0.158777 -0.690472 0.708493
3 0.530399 0.03016 0.531256
4 1.1272 0.060662 1.12883
5 1.12555 -1.13615 1.59928
6 -1.71974 -1.04272 2.01116
7 0.927594 -1.19744 1.51469
8 0.396308 2.28565 2.31975
9 2.07949 -0.742624 2.20812
10 1.87379 1.56217 2.43956
11 0.115453 -0.148462 0.18807
12 0.314944 0.64487 0.717668
13 -0.393274 0.018194 0.393695
14 -0.103045 1.31315 1.31719
15 0.363862 -0.013802 0.364124
16 -0.540999 1.0227 1.15698
17 0.746855 0.085009 0.751677
18 0.492531 -0.36849 0.615119
19 0.88493 -0.168498 0.900829
20 1.33825 -1.93656 2.35397
21 0.739866 -0.179055 0.761224
22 1.29485 0.499697 1.38792
23 0.734546 -0.665113 0.990925
24 0.486019 1.31188 1.39902
25 2.47713 -1.44714 2.86886
26 0.560034 1.98435 2.06187
27 1.97563 2.13823 2.91121
28 -1.02482 3.85263 3.9866
29 -2.13135 1.61389 2.67344
30 -2.97994 -0.465925 3.01614
31 -3.71762 -4.48431 5.82492
32 0.313022 -4.03577 4.04789
33 3.91988 -5.35889 6.63951
34 5.36398 -2.59939 5.96063
35 8.10667 -0.156397 8.10818
36 6.81656 4.2125 8.01315
37 6.08045 9.14725 10.9838
38 -0.594569 12.9294 12.943
39 -11.3296 11.3439 16.0326
40 -22.0989 3.62272 22.3938
41 -24.16 -15.8421 28.8908
42 -13.0554 -32.9862 35.4758
43 13.8954 -41.2511 43.5285
44 39.683 -27.7935 48.4481
45 51.4122 3.28968 51.5173
46 36.9588 34.8711 50.8129
47 1.70769 46.9881 47.0191
48 -30.1784 30.362 42.8088
49 -38.7431 -7.62727 39.4867
50 -15.6765 -37.9089 41.0224
51 26.1785 -42.309 49.7531
52 55.9935 -11.9567 57.2559
53 56.3721 30.959 64.3138
54 24.8188 60.751 65.6251
55 -16.153 58.5678 60.7545
56 -40.9974 31.45 51.671
57 -38.1264 -1.0271 38.1402
58 -17.3469 -15.1274 23.0164
59 1.293 -8.56687 8.6639
60 3.27105 6.24846 7.05288
61 -8.48638 12.2154 14.8739
